Phase 1/4: objective-conflict anchor runs
Running 3 case(s) with 16 worker(s)...
[progress] OPMWADE P21 repeat=1/8 | W3:conflict_single_objective | nfes=910/6400 (14.2%) | best=8.844141851e-05 | fearate=1 | iter=4 | np=157 | elapsed=668.6s
[progress] OPMWADE P21 repeat=1/8 | W2:conflict_single_objective | nfes=910/6400 (14.2%) | best=0.07440844663 | fearate=1 | iter=4 | np=157 | elapsed=668.6s
[progress] OPMWADE P21 repeat=1/8 | W1:conflict_single_objective | nfes=910/6400 (14.2%) | best=0.00028817386 | fearate=1 | iter=4 | np=157 | elapsed=669.0s
[progress] OPMWADE P21 repeat=1/8 | W3:conflict_single_objective | nfes=1636/6400 (25.6%) | best=8.577421464e-05 | fearate=1 | iter=9 | np=130 | elapsed=1198.9s
[progress] OPMWADE P21 repeat=1/8 | W1:conflict_single_objective | nfes=1636/6400 (25.6%) | best=0.0001408412756 | fearate=1 | iter=9 | np=130 | elapsed=1199.6s
[progress] OPMWADE P21 repeat=1/8 | W2:conflict_single_objective | nfes=1636/6400 (25.6%) | best=0.04814717971 | fearate=1 | iter=9 | np=130 | elapsed=1199.6s
[progress] OPMWADE P21 repeat=1/8 | W3:conflict_single_objective | nfes=2460/6400 (38.4%) | best=5.241364681e-05 | fearate=1 | iter=16 | np=104 | elapsed=1800.2s
[progress] OPMWADE P21 repeat=1/8 | W2:conflict_single_objective | nfes=2460/6400 (38.4%) | best=0.03932078504 | fearate=1 | iter=16 | np=104 | elapsed=1801.0s
[progress] OPMWADE P21 repeat=1/8 | W1:conflict_single_objective | nfes=2460/6400 (38.4%) | best=8.877725122e-05 | fearate=1 | iter=16 | np=104 | elapsed=1801.3s
[progress] OPMWADE P21 repeat=1/8 | W3:conflict_single_objective | nfes=3224/6400 (50.4%) | best=5.003589488e-05 | fearate=1 | iter=24 | np=86 | elapsed=2358.1s
[progress] OPMWADE P21 repeat=1/8 | W1:conflict_single_objective | nfes=3224/6400 (50.4%) | best=8.279350552e-05 | fearate=1 | iter=24 | np=86 | elapsed=2358.8s
[progress] OPMWADE P21 repeat=1/8 | W2:conflict_single_objective | nfes=3240/6400 (50.6%) | best=0.03826824787 | fearate=1 | iter=25 | np=85 | elapsed=2370.6s
[progress] OPMWADE P21 repeat=1/8 | W2:conflict_single_objective | nfes=4006/6400 (62.6%) | best=0.0363344253 | fearate=1 | iter=35 | np=55 | elapsed=2930.6s
